,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2019-12-05,12,2019-12-05,23.71666666666667,42.13333333333333,66.33333333333333,941.8583333333332,100.83333333333333,4.3999999999999995,0.0,227.66666666666666,227.66666666666666
2019-12-06,12,2019-12-06,24.358333333333334,34.125,51.75,941.5500000000001,98.25,3.8249999999999997,305.5,185.91666666666666,375.9166666666667
2019-12-07,12,2019-12-07,23.833333333333332,32.25833333333333,52.083333333333336,940.5666666666666,101.25,3.3166666666666664,287.25,190.0,373.0
2019-12-08,12,2019-12-08,23.849999999999998,30.21666666666667,56.75,940.9,112.08333333333333,2.8833333333333333,265.9166666666667,199.25,368.5
2019-12-09,12,2019-12-09,24.508333333333336,33.0,65.08333333333333,940.775,104.83333333333333,2.8333333333333335,271.5833333333333,207.08333333333334,363.4166666666667
2019-12-10,12,2019-12-10,24.933333333333334,29.366666666666664,60.0,939.6083333333332,88.16666666666667,2.1666666666666665,308.25,187.58333333333334,375.3333333333333
2019-12-11,12,2019-12-11,25.633333333333336,21.441666666666666,51.5,938.3416666666667,122.41666666666667,1.0583333333333333,361.9166666666667,163.91666666666666,394.5833333333333
2019-12-12,12,2019-12-12,25.133333333333336,28.558333333333334,56.083333333333336,937.8916666666668,216.0,1.6083333333333334,159.25,230.0,322.9166666666667
2019-12-13,12,2019-12-13,24.90833333333333,21.383333333333336,49.833333333333336,939.2166666666667,219.08333333333334,1.5666666666666667,393.3333333333333,171.58333333333334,396.3333333333333
2019-12-14,12,2019-12-14,24.724999999999998,19.958333333333332,46.583333333333336,941.3916666666668,99.33333333333333,1.7916666666666667,420.75,149.5,409.1666666666667
2019-12-15,12,2019-12-15,25.2,23.40833333333333,49.0,940.2166666666667,140.91666666666666,2.225,312.5833333333333,190.41666666666666,378.3333333333333
2019-12-16,12,2019-12-16,24.925,22.25,49.75,940.0333333333333,106.66666666666667,2.1083333333333334,298.0833333333333,192.16666666666666,377.8333333333333
2019-12-17,12,2019-12-17,24.325,20.575,53.75,941.4250000000001,94.5,3.266666666666667,304.1666666666667,179.08333333333334,366.9166666666667
2019-12-18,12,2019-12-18,23.90833333333333,18.441666666666666,53.083333333333336,942.1583333333333,100.41666666666667,3.2416666666666667,356.3333333333333,177.16666666666666,392.5833333333333
2019-12-19,12,2019-12-19,24.125,17.283333333333335,50.416666666666664,940.8249999999999,110.41666666666667,2.7083333333333335,469.5,144.16666666666666,416.3333333333333
2019-12-20,12,2019-12-20,24.03333333333333,17.858333333333334,54.166666666666664,939.6333333333333,110.16666666666667,2.5,276.75,201.41666666666666,377.0
2019-12-21,12,2019-12-21,25.041666666666668,21.058333333333334,46.333333333333336,939.1666666666666,105.5,3.3249999999999997,215.5,225.66666666666666,355.9166666666667
2019-12-22,12,2019-12-22,24.766666666666666,32.733333333333334,50.583333333333336,939.4916666666667,107.58333333333333,3.875,5.833333333333333,230.5,234.75
2019-12-23,12,2019-12-23,25.183333333333334,37.46666666666667,57.25,938.9499999999999,130.66666666666666,3.3000000000000003,253.41666666666666,177.08333333333334,339.6666666666667
2019-12-24,12,2019-12-24,25.53333333333333,37.28333333333334,53.583333333333336,940.0749999999999,166.0,2.4250000000000003,137.16666666666666,201.16666666666666,285.9166666666667
2019-12-25,12,2019-12-25,24.583333333333332,40.55833333333333,57.25,939.8000000000001,99.25,1.8583333333333334,94.75,201.0,263.5833333333333
2019-12-26,12,2019-12-26,25.474999999999998,40.199999999999996,62.5,939.0749999999999,198.58333333333334,1.6916666666666667,118.75,244.83333333333334,307.4166666666667
2019-12-27,12,2019-12-27,24.075,19.841666666666665,61.0,938.7166666666667,94.25,2.2833333333333337,153.58333333333334,219.91666666666666,302.5833333333333
2019-12-28,12,2019-12-28,22.349999999999998,24.65833333333333,66.5,939.3333333333334,106.33333333333333,4.216666666666667,122.83333333333333,254.75,324.75
2019-12-29,12,2019-12-29,23.541666666666668,26.016666666666666,60.666666666666664,939.6333333333333,134.5,2.3916666666666666,63.583333333333336,254.83333333333334,299.75
